Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2
0,P00001,OU,BS3,StandardStar,0:05:20.1,-5:42:27.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00002,OU,BS15,StandardStar,0:08:23.3,29:05:25.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00003,OU,BS33,StandardStar,0:11:15.9,-15:28:4.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00004,OU,BS39,StandardStar,0:13:14.2,15:11:0.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00005,OU,BS74,StandardStar,0:19:25.7,-8:49:26.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00006,OU,BS88,StandardStar,0:22:51.8,-12:12:34.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00007,OU,BS163,StandardStar,0:38:33.3,29:18:42.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00008,OU,BS489,StandardStar,1:41:25.9,5:29:15.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00009,OU,BS531,StandardStar,1:49:35.1,-10:41:11.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00010,OU,BS544,StandardStar,1:53:4.9,29:34:43.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00011,OU,BS553,StandardStar,1:54:38.4,20:48:28.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00012,OU,BS612,StandardStar,2:04:29.4,-29:17:48.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
