Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2
0,P00001,OU,gb9,bulge,17:45:41.2,-27:52:30.1,0.0,0.0,-38160.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00002,OU,gb10,bulge,17:42:58.8,-28:51:48.5,0.0,0.0,-37080.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00003,OU,gb11,bulge,17:40:13.4,-29:50:53.8,0.0,0.0,-36000.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00004,OU,gb12,bulge,17:37:24.8,-30:49:45.4,0.0,0.0,-34560.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00005,OU,gb13,bulge,17:34:32.9,-31:48:22.4,0.0,0.0,-33120.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00006,OU,gb20,bulge,17:39:23.1,-32:28:19.9,0.0,0.0,-35280.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00007,OU,gb19,bulge,17:42:13.4,-31:29:18.4,0.0,0.0,-36720.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00008,OU,gb18,bulge,17:45:0.4,-30:30:3.4,0.0,0.0,-37800.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00009,OU,gb17,bulge,17:47:44.3,-29:30:35.6,0.0,0.0,-39240.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00010,OU,gb16,bulge,17:50:25.2,-28:30:55.7,0.0,0.0,-40320.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00011,OU,gb23,bulge,17:55:12.4,-29:8:45.8,0.0,0.0,-42120.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00012,OU,gb24,bulge,17:52:33.2,-30:8:45.8,0.0,0.0,-41040.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00013,OU,gb25,bulge,17:49:51.0,-31:8:34.8,0.0,0.0,-39960.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00014,OU,gb26,bulge,17:47:5.8,-32:8:12.0,0.0,0.0,-38880.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00015,OU,gb27,bulge,17:44:17.4,-33:7:36.7,0.0,0.0,-37440.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00016,OU,gb34,bulge,17:49:15.7,-33:46:11.1,0.0,0.0,-39960.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00017,OU,gb33,bulge,17:52:2.1,-32:46:24.5,0.0,0.0,-41040.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00018,OU,gb32,bulge,17:54:45.3,-31:46:26.5,0.0,0.0,-42120.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00019,OU,gb31,bulge,17:57:25.4,-30:46:17.7,0.0,0.0,-43200.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
0,P00020,OU,gb30,bulge,18:0:2.8,-29:45:59.0,0.0,0.0,-44280.0,Open,H,None,0.0,0.0,0,12,10.00,"""""",""""""
